product_id,product_name,aisle_id,department_id
132,Yogurt Strawberry Pomegranate,120,16
133,Purifying Daily Detox Scrub,109,11
134,Stain Release Boost In-Wash Stain Remover Pacs,75,17
135,Dark Chocolate Ice Cream Topping,103,19
136,Simple,45,19
137,Very Vanilla Soymilk,91,16
138,Olli Napoli Salami,96,20
"139,""Zita Cut, No. 118"",131,9"
140,Chips Onion Chipotle Garlic,107,19
141,Restaurant Style Organic Chia & Quinoa Tortilla Chips,107,19
142,Arugula Salad,123,4
143,Organic Lemons,24,4
144,Coarse Grind Garlic Powder & Parsley Blend,104,13
145,Traditional Water Crackers,78,19
146,Anti Diarrheal Caplets,70,11
147,Organic Ranch Veggie Dip,67,20
148,Nectarines,24,4
149,Wild Blueberry All Natural Fruit Spread,88,13
150,Brut Rosé,134,5
151,Aromatherapaes Stress Reducing Lavender & Chamomile Spa Bath,132,11
"152,""3 in 1 Soap for Every Man, Cucumber & Lemon"",25,11"
"153,""Fabric Refresher Meadows & Rain Air Freshener (1 Count, 27 oz)  Air Care"",75,17"
"154,""Corn Dogs, Mini, Honey Crunchy Flavor"",129,1"
155,Artisan Ciabatta,58,1
156,Extra Spearmint Sugar-Free Gum,46,19
157,Living Organic Cilantro,16,4
158,Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,96,20
"159,""Calcium Adult Gummy Vitamins, Orange Cherry & Strawberry"",47,11"
160,100% Recycled Aluminum Foil,97,13
161,Hacho Miso Aged & Fermented Soybeans,66,6
162,Organic Mini Homestyle Waffles,52,1
163,Dressing Bleu Cheese,89,13
164,Peanut Butter Cacao Quinoa Clusters,3,19
165,Wild Chanterelle Mushroom Ravioli,12,9
166,Garlic Parmesan Pita Bread Chips,107,19
167,Sparkling Blush Grape Juice,77,7
168,Halves & Pieces Walnuts,17,13
169,Extra Sharp Cheddar Cheese,21,16
170,Single Herbs Ginkgo Leaf Dietary Supplement,47,11
171,Steakhouse Onion Burger with Garlic Seasoning,5,13
172,Gluten Free All Natural Chocolate Chip Cookies,61,19
173,Habanero Lime Shrimp Flavor Ramen Noodle Soup,4,9
174,Vanishing Acne Treatment Cream,73,11
175,T Bone Steak,122,12
176,Original Turkey,96,20
177,Citrus Terere Yerba Mate,94,7
178,Vegan Santa Fe Style Flour Tortilla Rolled Tacos,42,1
179,Penne Rigate With Spinach,131,9
180,Simply Beyond Black Bean Tortilla Chips,107,19
181,Country Style Baked Beans,59,15
182,Acti-Fresh Body Shape Long Unscented To Go Panty Liners,126,11
183,Cookie Dough Performance Energy,3,19
184,Kisses Milk Chocolate Candy,45,19
185,Chicken Nugget Meal,38,1
186,Fresh Scent Dishwasher Detergent with Dawn,74,17
187,Wild Sardines in Marinara Sauce,95,15
188,Mild El Nino Salsa,67,20
189,Healthfull Nuts & Seeds Bread,112,3
190,Classic Culinary Low Sodium Vegetable Broth,69,15
191,Medium Spicy Butter Chicken Simmer Sauce,9,9
192,Israeli Style Gefilte Fish,33,6
193,fruitwater® Strawberry Kiwi Sparkling Water,98,7
194,Lamb Rib Chops,122,12
195,Grade A Pasteurized 2% Milkfat Lowfat Cottage Cheese with Pineapple,108,16
196,Soda,77,7
197,Cold Brew Coffee Tahitian Vanilla,26,7
198,Tzatziki Cucumber Sauce,67,20
199,Herb Thyme Clamshell,16,4
200,Radiant Pantiliners Regular Wrapped Unscented,126,11
201,Sloppy Joe,38,1
202,Spinach & Feta Pierogi,38,1
"203,""Rescue Remedy, Spray"",11,11"
204,Free & Clear Natural Laundry Detergent For Sensitive Skin,75,17
205,Chocolate Mint Cookie Crunch Nutrition Bar,3,19
206,Roasted Vegetable Soufflé,38,1
207,Minis Candy Bars,45,19
208,Vanilla Almond Cashew Almondmilk Cashewmilk Blend,91,16
209,Italian Pasta Salad,1,20
210,Homemade Hot Arrabbiata Fra Diavolo Sauce,9,9
211,Gluten Free Organic Cereal Coconut Maple Vanilla,130,14
212,Organic Blue Corn Sea Salt Tortilla Chips,107,19
213,Tapatio Salsa Picante Hot Sauce Tortilla Chips,107,19
214,Argan Oil of Morocco Renewing Weightless Healing Dry Oil Hair Oil,22,11
215,Sambal Oelek Ground Fresh Chili Paste,66,6
"216,""Gluten Free Oatmeal, Variety Pack"",130,14"
"217,""String Cheese, Mozzarella"",108,16"
"218,""6\"""" Organic Carrot Cake"",8,3"
219,Totz Toothbrush Extra Soft 18+ Months,82,18
220,Tegaderm Waterproof Transparent Dressing,118,11
221,Cayenne Lemonade Made With Raw Tristate Honey,31,7
222,Honey Nut Oatmeal Squares,121,14
223,Kiwi Strawberry Sparkling Water,115,7
224,Foaming Hand Soap Kid Watermelon,114,17
225,3 Seed Blue Corn Dipping Chips,107,19
226,Shaved Parmesan Cheese,21,16
227,Triple Chocolate Snack Size,45,19
228,Organic Soups Lentil,69,15
229,EcoNet Recycled Bath Sponge,109,11
230,Vanilla Cream Soda,77,7
231,Low Sodium Turkey,49,12
232,Blue Bottle Coffee Frozen Bar,37,1
233,Chinese Breakfast Black Tea,94,7
234,Tennessee Whiskey,124,5
235,Gluten Free Blueberry Muffin Mix,105,13
236,Chicken Meatballs Dog Treats,40,8
237,Brambleberry Herbal Tea,94,7
238,Alpha-Bits Multigrain Cereal,121,14
239,Chicharrones Picante Flavor Pork Rinds,107,19
240,Nature's Seasons Seasoning Blend,104,13
241,Shrimp with Pasta & Vegetables,38,1
242,Original Red Twists,45,19
243,Taco Reduced Sodium Seasoning Mix,5,13
244,Organic Roasted Garlic Pasta Sauce,9,9
245,Poppy Seed Bagels,93,3
246,Triple-Acting Laundry Stain Remover,75,17
247,Perfectly Thymed Pita Crisps Baked,107,19
248,Dried Sweetened Cranberries,117,19
"249,""Pinot Grigio, California, 2010"",62,5"
"250,""Authentic Deep Dish, Spinach & Garlic Pizza"",79,1"
251,Extra Strength Melatonin Adult Gummies,47,11
"252,""Waffles, Red Berry"",121,14"
253,Organic Vegetable Greens & Greens Juice Blend,31,7
254,Honey Mustard,72,13
"255,""Cold Remedy, Quick Dissolve Tablets, Cherry Flavor"",11,11"
256,Island Fruits Fruit Snacks,50,19
257,Key Lime Soda,77,7
258,Vegetable Pot Pie,38,1
259,Imported Italian Solid Light Tuna In Pure Olive Oil,95,15
260,Cantaloupe,24,4
261,Organic Southwestern Burrito,38,1
262,Petite Dill Pickles,110,13
263,Red Food Color,97,13
264,Non-Fat Blueberry on the Bottom Greek Yogurt,120,16
265,Glass Storage Container with Green Silicone Protection,85,17
266,Rio Berry,64,7
267,Triple Chocolate Ripple,37,1
268,Sponge Mop,114,17
269,Stuffed Crust Five Cheese Pizza,79,1
270,OneZip Storage Bags Quart Size Value Pack,85,17
271,TAI PEI      14OZ.SWEET & SOUR CHKN,38,1
272,Propolis Herbal Supplement,47,11
273,Thin Stackers Brown Rice  Salt Free,107,19
274,Snack Bags,87,17
275,Caramel Sauce,103,19
276,French Vanilla Ice Cream,37,1
277,Diet Root Beer,77,7
278,Instant Mashed Potatoes,4,9
279,Everyday Detox Dandelion Tea,94,7
280,Makeup Remover Cleansing Towelettes,73,11
281,Chai Tea Bags,94,7
282,Oh My Cod! Cod Pate and Vegetables Cat Food,40,8
283,Organic Whole Wheat Elbows,131,9
284,Organic Spicy Heirloom Marinara Sauce,9,9
285,Mini Nilla Wafers Munch Pack,61,19
286,Lite Poppy Seed Dressing Lite,89,13
287,Turkey,96,20
288,Original Sprouted Grains Protein & Fiber Hot Oatmeal,130,14
289,100% Juice No Sugar Added Fruit Punch,98,7
290,Organic Peppermint Lemonade,31,7
291,Mint Dental Floss,20,11
292,Fresh Multi-Purpose Contact Lens Solution,44,11
293,Prime Filets Chicken & Tuna Dinner in Gravy Cat Food,41,8
294,Minis Original Saltine Crackers,78,19
295,Chewables Extra Strength Cherry Creme - 48 CT,70,11
296,For Men Odor Armor Body Wash,127,11
"297,""Write Bros Ball Point Pens, Cap-Pen, Medium (1.0 mm), Black Ink"",100,21"
298,Brisk With Lemon Iced Tea,94,7
299,Organic Apple Spinach Kale Coconut Water Superjuice,98,7
